,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
220,cherskiy,2126199,01 Apr 2019,68.75,161.3,RU,22.03,80,72,6.4
221,saskylakh,2017155,01 Apr 2019,71.97,114.09,RU,7.81,0,59,5.88
222,beringovskiy,2126710,01 Apr 2019,63.05,179.32,RU,31.12,92,100,8.9
223,arlit,2447513,01 Apr 2019,18.74,7.39,NE,77.83,0,30,2.86
224,ambunti,2100933,01 Apr 2019,-4.22,142.82,PG,73.15,80,100,1.48
225,vila franca do campo,3372472,01 Apr 2019,37.72,-25.43,PT,57.2,40,62,21.92
226,maniitsoq,3421982,01 Apr 2019,65.42,-52.9,GL,20.32,48,85,9.08
227,igarka,1505991,01 Apr 2019,67.47,86.57,RU,22.21,56,90,8.34
228,gararu,3399051,01 Apr 2019,-9.97,-37.08,BR,81.7,88,64,8.75
229,cedro,3402340,01 Apr 2019,-6.61,-39.06,BR,77.38,92,90,3.6
230,lakatoro,2136697,01 Apr 2019,-16.11,167.42,VU,80.53,36,96,10.13
231,gazimurskiy zavod,2024122,01 Apr 2019,51.55,118.33,RU,2.14,0,62,2.53
232,padang,1633419,01 Apr 2019,-0.92,100.36,ID,82.69,64,100,4.88
233,makasar,1642911,01 Apr 2019,-6.28,106.88,ID,78.8,20,83,8.05
234,orange cove,5379533,01 Apr 2019,36.62,-119.31,US,78.01,1,38,4.21
235,cabo san lucas,3985710,01 Apr 2019,22.89,-109.91,MX,87.01,5,36,2.24
236,ritchie,961226,01 Apr 2019,-29.03,24.6,ZA,60.8,44,41,1.12
237,mehamn,778707,01 Apr 2019,71.03,27.85,NO,30.2,90,74,17.22
238,loudi,1802238,01 Apr 2019,27.73,112.0,CN,54.52,8,88,2.82
239,rebrikha,1493722,01 Apr 2019,53.08,82.34,RU,18.25,0,69,2.82
240,aksu,1524298,01 Apr 2019,52.04,76.93,KZ,39.2,0,80,8.95
241,garden city,5118226,01 Apr 2019,40.73,-73.63,US,48.2,1,28,16.11
242,boyuibe,3923015,01 Apr 2019,-20.43,-63.28,BO,80.6,75,69,4.7
243,viransehir,298033,01 Apr 2019,37.24,39.76,TR,49.66,92,96,7.4
244,kamphaeng phet,1153090,01 Apr 2019,16.47,99.53,TH,78.01,24,72,4.27
245,esperance,3573739,01 Apr 2019,10.24,-61.45,TT,89.6,20,49,14.99
